Benchmark	Original ns/op	Current ns/op	Original allocs/op	Current allocs/op	ns/op delta	allocs/op delta	ns % delta	allocs % delta
BenchmarkVom___Encode_____VByteListSmall-16                 	1425	1171	15	10	-254	-5	122%	150%
BenchmarkVom___EncodeMany_VByteListSmall-16                 	83	76	0	0	-7	0	109%	100%
BenchmarkVom___EncodeOptional_____VByteListSmall-16         	1499	1265	15	10	-234	-5	118%	150%
BenchmarkVom___EncodeManyOptional_VByteListSmall-16         	143	129	0	0	-14	0	111%	100%
BenchmarkVom___Decode_____VByteListSmall-16                 	540	281	9	3	-259	-6	192%	300%
BenchmarkVom___DecodeMany_VByteListSmall-16                 	226	209	3	3	-17	0	108%	100%
BenchmarkVom___Encode_____XByteListLarge-16                 	22441	22357	17	12	-84	-5	100%	142%
BenchmarkVom___EncodeMany_XByteListLarge-16                 	2662	2727	0	0	65	0	98%	100%
BenchmarkVom___EncodeOptional_____XByteListLarge-16         	22404	22386	18	13	-18	-5	100%	138%
BenchmarkVom___EncodeManyOptional_XByteListLarge-16         	2737	2903	1	1	166	0	94%	100%
BenchmarkVom___Decode_____XByteListLarge-16                 	9620	9450	9	3	-170	-6	102%	300%
BenchmarkVom___DecodeMany_XByteListLarge-16                 	9194	10525	3	3	1331	0	87%	100%
BenchmarkVom___Encode_____VByteListLarge-16                 	21809	25001	17	12	3192	-5	87%	142%
BenchmarkVom___EncodeMany_VByteListLarge-16                 	2506	2944	0	0	438	0	85%	100%
BenchmarkVom___EncodeOptional_____VByteListLarge-16         	22061	25673	17	12	3612	-5	86%	142%
BenchmarkVom___EncodeManyOptional_VByteListLarge-16         	2541	3131	0	0	590	0	81%	100%
BenchmarkVom___Decode_____VByteListLarge-16                 	9318	10666	9	3	1348	-6	87%	300%
BenchmarkVom___DecodeMany_VByteListLarge-16                 	9007	10719	3	3	1712	0	84%	100%
BenchmarkVom___Encode_____XByteArray-16                     	1746	1741	17	12	-5	-5	100%	142%
BenchmarkVom___EncodeMany_XByteArray-16                     	322	334	2	2	12	0	96%	100%
BenchmarkVom___EncodeOptional_____XByteArray-16             	1699	1495	17	12	-204	-5	114%	142%
BenchmarkVom___EncodeManyOptional_XByteArray-16             	294	341	2	2	47	0	86%	100%
BenchmarkVom___Decode_____XByteArray-16                     	678	488	9	3	-190	-6	139%	300%
BenchmarkVom___DecodeMany_XByteArray-16                     	370	407	3	3	37	0	91%	100%
BenchmarkVom___Encode_____VByteArray-16                     	1460	1371	16	11	-89	-5	106%	145%
BenchmarkVom___EncodeMany_VByteArray-16                     	98.6	106	1	1	7.4	0	93%	100%
BenchmarkVom___EncodeOptional_____VByteArray-16             	1537	1486	16	11	-51	-5	103%	145%
BenchmarkVom___EncodeManyOptional_VByteArray-16             	155	178	1	1	23	0	87%	100%
BenchmarkVom___Decode_____VByteArray-16                     	504	275	8	2	-229	-6	183%	400%
BenchmarkVom___DecodeMany_VByteArray-16                     	195	205	2	2	10	0	95%	100%
BenchmarkVom___Encode_____XArray-16                         	1753	1715	16	10	-38	-6	102%	160%
BenchmarkVom___EncodeMany_XArray-16                         	308	355	0	0	47	0	87%	100%
BenchmarkVom___EncodeOptional_____XArray-16                 	1797	1724	17	11	-73	-6	104%	155%
BenchmarkVom___EncodeManyOptional_XArray-16                 	352	404	1	1	52	0	87%	100%
BenchmarkVom___Decode_____XArray-16                         	765	480	8	1	-285	-7	159%	800%
BenchmarkVom___DecodeMany_XArray-16                         	380	437	1	1	57	0	87%	100%
BenchmarkVom___Encode_____VArray-16                         	1571	1473	16	10	-98	-6	107%	160%
BenchmarkVom___EncodeMany_VArray-16                         	134	138	0	0	4	0	97%	100%
BenchmarkVom___EncodeOptional_____VArray-16                 	1645	1465	16	10	-180	-6	112%	160%
BenchmarkVom___EncodeManyOptional_VArray-16                 	198	220	0	0	22	0	90%	100%
BenchmarkVom___Decode_____VArray-16                         	579	286	8	1	-293	-7	202%	800%
BenchmarkVom___DecodeMany_VArray-16                         	204	214	1	1	10	0	95%	100%
BenchmarkVom___Encode_____XListSmall-16                     	1749	1680	16	10	-69	-6	104%	160%
BenchmarkVom___EncodeMany_XListSmall-16                     	320	355	0	0	35	0	90%	100%
BenchmarkVom___EncodeOptional_____XListSmall-16             	1797	1724	17	11	-73	-6	104%	155%
BenchmarkVom___EncodeManyOptional_XListSmall-16             	363	406	1	1	43	0	89%	100%
BenchmarkVom___Decode_____XListSmall-16                     	877	655	10	3	-222	-7	134%	333%
BenchmarkVom___DecodeMany_XListSmall-16                     	487	550	3	3	63	0	89%	100%
BenchmarkVom___Encode_____VListSmall-16                     	1526	1438	16	10	-88	-6	106%	160%
BenchmarkVom___EncodeMany_VListSmall-16                     	138	146	0	0	8	0	95%	100%
BenchmarkVom___EncodeOptional_____VListSmall-16             	1610	1554	16	10	-56	-6	104%	160%
BenchmarkVom___EncodeManyOptional_VListSmall-16             	203	229	0	0	26	0	89%	100%
BenchmarkVom___Decode_____VListSmall-16                     	619	350	9	2	-269	-7	177%	450%
BenchmarkVom___DecodeMany_VListSmall-16                     	245	252	2	2	7	0	97%	100%
BenchmarkVom___Encode_____XListLarge-16                     	1795511	1807357	25	19	11846	-6	99%	132%
BenchmarkVom___EncodeMany_XListLarge-16                     	1602866	1713943	0	0	111077	0	94%	100%
BenchmarkVom___EncodeOptional_____XListLarge-16             	1790897	1825614	26	20	34717	-6	98%	130%
BenchmarkVom___EncodeManyOptional_XListLarge-16             	1607346	1486309	1	1	-121037	0	108%	100%
BenchmarkVom___Decode_____XListLarge-16                     	1231542	1324477	10	3	92935	-7	93%	333%
BenchmarkVom___DecodeMany_XListLarge-16                     	1245157	1436820	3	3	191663	0	87%	100%
BenchmarkVom___Encode_____VListLarge-16                     	1262615	1210276	25	19	-52339	-6	104%	132%
BenchmarkVom___EncodeMany_VListLarge-16                     	1090824	1051466	0	0	-39358	0	104%	100%
BenchmarkVom___EncodeOptional_____VListLarge-16             	1492756	1188263	25	19	-304493	-6	126%	132%
BenchmarkVom___EncodeManyOptional_VListLarge-16             	1496071	1059763	0	0	-436308	0	141%	100%
BenchmarkVom___Decode_____VListLarge-16                     	910307	827005	9	2	-83302	-7	110%	450%
BenchmarkVom___DecodeMany_VListLarge-16                     	922021	857153	2	2	-64868	0	108%	100%
BenchmarkVom___Encode_____XListAnySmall-16                  	5058	4407	53	29	-651	-24	115%	183%
BenchmarkVom___EncodeMany_XListAnySmall-16                  	3097	3022	34	18	-75	-16	102%	189%
BenchmarkVom___EncodeOptional_____XListAnySmall-16          	5083	4798	54	30	-285	-24	106%	180%
BenchmarkVom___EncodeManyOptional_XListAnySmall-16          	3039	3061	35	19	22	-16	99%	184%
BenchmarkVom___Decode_____XListAnySmall-16                  	2075	1504	23	12	-571	-11	138%	192%
BenchmarkVom___DecodeMany_XListAnySmall-16                  	1500	1429	12	12	-71	0	105%	100%
BenchmarkVom___Encode_____VListAnySmall-16                  	4620	4275	53	29	-345	-24	108%	183%
BenchmarkVom___EncodeMany_VListAnySmall-16                  	2738	2633	34	18	-105	-16	104%	189%
BenchmarkVom___EncodeOptional_____VListAnySmall-16          	4798	4534	53	29	-264	-24	106%	183%
BenchmarkVom___EncodeManyOptional_VListAnySmall-16          	2864	2711	34	18	-153	-16	106%	189%
BenchmarkVom___Decode_____VListAnySmall-16                  	1500	991	22	11	-509	-11	151%	200%
BenchmarkVom___DecodeMany_VListAnySmall-16                  	848	883	11	11	35	0	96%	100%
BenchmarkVom___Encode_____XListAnyLarge-16                  	53882691	57048019	655426	327781	3165328	-327645	94%	200%
BenchmarkVom___EncodeMany_XListAnyLarge-16                  	52791647	55714380	655390	327745	2922733	-327645	95%	200%
BenchmarkVom___EncodeOptional_____XListAnyLarge-16          	53778728	60040178	655428	327781	6261450	-327647	90%	200%
BenchmarkVom___EncodeManyOptional_XListAnyLarge-16          	52624395	59162151	655391	327746	6537756	-327645	89%	200%
BenchmarkVom___Decode_____XListAnyLarge-16                  	16199156	21925101	196647	196638	5725945	-9	74%	100%
